journal_name,short_name,dict,if2023,if5year,jcr,rank,cas
Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,ACTA CHIR ORTHOP TR,ORTHOPEDICS,0.4,0.4,Q4,124/136,4
ACTA CHIRURGICA BELGICA,ACTA CHIR BELG,SURGERY,0.6,0.8,Q4,239/290,4
ACTA CHROMATOGRAPHICA,ACTA CHROMATOGR,"CHEMISTRY, ANALYTICAL",1.7,1.3,Q3,75/106,4
Acta Cirurgica Brasileira,ACTA CIR BRAS,SURGERY,1.1,1.2,Q3,195/290,4
Acta Classica,ACTA CLASS,CLASSICS,0.1,0.1,N/A,N/A,3
ACTA CLINICA BELGICA,ACTA CLIN BELG,"MEDICINE, GENERAL & INTERNAL",1.1,1.3,Q2,161/325,4
Acta Clinica Croatica,ACTA CLIN CROAT,"MEDICINE, GENERAL & INTERNAL",0.7,1.2,Q3,207/325,4
Acta Colombiana de Psicologia,ACTA COLOMB PSICOL,"PSYCHOLOGY, CLINICAL",0.7,0.9,Q4,152/180,4
Acta Crystallographica A-Foundation and Advances,ACTA CRYSTALLOGR A,CRYSTALLOGRAPHY,1.9,2.1,Q2,15/33,4
Acta Crystallographica Section B-Structural Science Crystal Engineering and Materials,ACTA CRYSTALLOGR B,CRYSTALLOGRAPHY,1.3,2,Q3,19/33,3
ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,ACTA CRYSTALLOGR C,CRYSTALLOGRAPHY,0.7,0.7,Q3,23/33,4
Acta Crystallographica Section D-Structural Biology,ACTA CRYSTALLOGR D,CRYSTALLOGRAPHY,2.6,5.2,Q1,8/33,4
Acta Crystallographica Section E-Crystallographic Communications,ACTA CRYSTALLOGR E,CRYSTALLOGRAPHY,0.5,0.6,Q4,28/33,4
Acta Crystallographica Section F-Structural Biology Communications,ACTA CRYSTALLOGR F,CRYSTALLOGRAPHY,1.1,0.9,Q3,21/33,4
Acta Cybernetica,ACTA CYBERN,"COMPUTER SCIENCE, CYBERNETICS",0.3,0.3,Q4,31/32,4
ACTA CYTOLOGICA,ACTA CYTOL,PATHOLOGY,1.6,1.9,Q3,53/88,4
ACTA DERMATO-VENEREOLOGICA,ACTA DERM-VENEREOL,DERMATOLOGY,3.5,4,Q1,20/94,3
Acta Dermatovenerologica Alpina Pannonica et Adriatica,ACTA DERMATOVEN ALP,DERMATOLOGY,0.6,1,Q4,81/94,4
Acta Dermatovenerologica Croatica,ACTA DERMATOVENER CR,DERMATOLOGY,0.6,1.1,Q4,81/94,4
ACTA DIABETOLOGICA,ACTA DIABETOL,ENDOCRINOLOGY & METABOLISM,3.1,3.4,Q2,85/186,3
Acta Ecologica Sinica,ACTA ECOL SINICA,ECOLOGY,4.7,N/A,Q1,26/195,N/A
Acta Endocrinologica-Bucharest,ACTA ENDOCRINOL-BUCH,ENDOCRINOLOGY & METABOLISM,0.7,1.1,Q4,164/186,4
ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,ACTA ENT MUS NAT PRA,ENTOMOLOGY,0.9,0.7,Q3,75/109,3
Acta Epileptologica,ACTA EPILEPTOL,CLINICAL NEUROLOGY,1.2,1.2,Q4,227/277,4
Acta et Commentationes Universitatis Tartuensis de Mathematica,ACTA COMMENT UNIV TA,MATHEMATICS,0.3,0.5,Q4,431/489,4
ACTA ETHOLOGICA,ACTA ETHOL,ZOOLOGY,1.1,1.1,Q3,96/180,4
Acta Facultatis Medicae Naissensis,ACTA FAC MEDICAE NAI,"MEDICINE, GENERAL & INTERNAL",0.3,0.3,Q3,243/325,4
Acta Facultatis Xylologiae Zvolen,ACTA FAC XYLOLOG ZVO,"MATERIALS SCIENCE, PAPER & WOOD",0.9,0.8,Q3,14/23,4
ACTA GASTRO-ENTEROLOGICA BELGICA,ACTA GASTRO-ENT BELG,GASTROENTEROLOGY & HEPATOLOGY,1.3,1.4,Q4,117/143,4
Acta Geochimica,ACTA GEOCHIM,GEOCHEMISTRY & GEOPHYSICS,1.4,1.6,Q3,60/101,3
Acta Geodaetica et Geophysica,ACTA GEOD GEOPHYS,GEOCHEMISTRY & GEOPHYSICS,1.4,1.5,Q3,60/101,4
Acta Geodynamica et Geomaterialia,ACTA GEODYN GEOMATER,MINING & MINERAL PROCESSING,0.9,1.1,Q3,23/31,4
Acta Geographica Slovenica-Geografski Zbornik,ACTA GEOGR SLOV,"GEOGRAPHY, PHYSICAL",1.3,1,Q3,47/65,4
ACTA GEOLOGICA POLONICA,ACTA GEOL POL,GEOLOGY,1.1,0.9,Q3,34/60,4
ACTA GEOLOGICA SINICA-ENGLISH EDITION,ACTA GEOL SIN-ENGL,"GEOSCIENCES, MULTIDISCIPLINARY",3.5,3.2,Q1,58/253,4
Acta Geophysica,ACTA GEOPHYS,GEOCHEMISTRY & GEOPHYSICS,2,2.1,Q2,45/101,4
Acta Geotechnica,ACTA GEOTECH,"ENGINEERING, GEOLOGICAL",5.6,6,Q1,6/63,1
Acta Geotechnica Slovenica,ACTA GEOTECH SLOV,"ENGINEERING, GEOLOGICAL",0.5,0.6,Q4,55/63,4
Acta Germanica-German studies in Africa,ACTA GER,LANGUAGE & LINGUISTICS,0.1,0.1,N/A,N/A,4
Acta Gymnica,ACTA GYMNICA,SPORT SCIENCES,0.9,0.7,Q4,98/127,4
ACTA HAEMATOLOGICA,ACTA HAEMATOL-BASEL,HEMATOLOGY,1.7,2.1,Q3,68/97,4
Acta Herpetologica,ACTA HERPETOL,ZOOLOGY,0.6,0.9,Q4,150/180,4
ACTA HISTOCHEMICA,ACTA HISTOCHEM,CELL BIOLOGY,2.3,2.3,Q4,162/205,3
ACTA HISTOCHEMICA ET CYTOCHEMICA,ACTA HISTOCHEM CYTOC,CELL BIOLOGY,1.6,1.8,Q4,187/205,4
Acta Historica Tallinnensia,ACTA HIST TALLINENSI,HISTORY,0.2,0.3,Q2,234/518,3
Acta Historica Universitatis Klaipedensis,ACTA HIST U KLAIPDEN,HISTORY,<0.1,N/A,Q4,450/518,4
Acta Histriae,ACTA HISTRIAE,HISTORY,0.5,0.4,Q1,84/518,2
ACTA ICHTHYOLOGICA ET PISCATORIA,ACTA ICHTHYOL PISCAT,ZOOLOGY,0.8,0.9,Q3,120/180,4
ACTA INFORMATICA,ACTA INFORM,"COMPUTER SCIENCE, INFORMATION SYSTEMS",0.4,0.6,Q4,237/249,4
Acta Informatica Pragensia,ACTA INFORM PRAG,"SOCIAL SCIENCES, INTERDISCIPLINARY",0.8,N/A,Q3,139/263,4
Acta Kinesiologica,ACTA KINESIOL,SPORT SCIENCES,0.2,0.3,Q4,123/127,4
Acta Koreana,ACTA KOREANA,ASIAN STUDIES,0.2,0.3,N/A,N/A,4
Acta Linguistica Academica,ACTA LINGUIST ACAD,LINGUISTICS,0.5,0.6,Q3,206/297,3
Acta Literaria,ACTA LIT,"LITERATURE, ROMANCE",<0.1,<0.1,N/A,N/A,4
Acta Logistica,ACTA LOGISTICA,MANAGEMENT,0.8,N/A,Q4,343/401,4
ACTA MATERIALIA,ACTA MATER,METALLURGY & METALLURGICAL ENGINEERING,8.3,9.3,Q1,4/90,1
ACTA MATHEMATICA,ACTA MATH-DJURSHOLM,MATHEMATICS,4.9,5,Q1,4/489,1
ACTA MATHEMATICA HUNGARICA,ACTA MATH HUNG,MATHEMATICS,0.6,0.7,Q3,263/489,4
ACTA MATHEMATICA SCIENTIA,ACTA MATH SCI,MATHEMATICS,1.2,1.1,Q1,80/489,3
ACTA MATHEMATICA SINICA-ENGLISH SERIES,ACTA MATH SIN,"MATHEMATICS, APPLIED",0.8,0.8,Q3,218/331,4
Acta Mathematica Universitatis Comenianae,ACTA MATH UNIV COMEN,MATHEMATICS,0.4,0.4,Q4,379/489,4
Acta Mathematica Vietnamica,ACTA MATH VIETNAM,MATHEMATICS,0.3,0.5,Q4,431/489,4
Acta Mathematicae Applicatae Sinica-English Series,ACTA MATH APPL SIN-E,"MATHEMATICS, APPLIED",0.9,0.7,Q3,200/331,4
ACTA MECHANICA,ACTA MECH,MECHANICS,2.3,2.2,Q2,75/170,3
Acta Mechanica et Automatica,ACTA MECH AUTOMATICA,"ENGINEERING, MECHANICAL",1,0.8,Q4,145/180,4
ACTA MECHANICA SINICA,ACTA MECH SINICA-PRC,MECHANICS,3.8,3.1,Q1,32/170,2
ACTA MECHANICA SOLIDA SINICA,ACTA MECH SOLIDA SIN,MECHANICS,2,2,Q3,91/170,4
Acta Medica Indonesiana,ACTA MED INDONES,"MEDICINE, GENERAL & INTERNAL",0.7,1.1,Q3,207/325,4
ACTA MEDICA OKAYAMA,ACTA MED OKAYAMA,"MEDICINE, RESEARCH & EXPERIMENTAL",0.6,0.7,Q4,170/189,4
Acta Medica Portuguesa,ACTA MEDICA PORT,"MEDICINE, GENERAL & INTERNAL",0.8,1.2,Q3,190/325,4
Acta Medico-Historica Adriatica,ACTA MED-HIST ADRIAT,HISTORY & PHILOSOPHY OF SCIENCE,0.2,0.2,Q4,85/104,4
ACTA METALLURGICA SINICA,ACTA METALL SIN,METALLURGY & METALLURGICAL ENGINEERING,2.4,2,Q2,29/90,2
Acta Metallurgica Sinica-English Letters,ACTA METALL SIN-ENGL,METALLURGY & METALLURGICAL ENGINEERING,2.9,3,Q2,23/90,2
Acta Metallurgica Slovaca,ACTA METALL SLOVACA,METALLURGY & METALLURGICAL ENGINEERING,1.1,0.8,Q3,59/90,4
ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA,ACTA MICROBIOL IMM H,MICROBIOLOGY,1.3,1.5,Q4,144/161,4
ACTA MISSIOLOGICA,ACTA MISSIOL,RELIGION,1.7,0.9,N/A,N/A,3
Acta Montanistica Slovaca,ACTA MONTAN SLOVACA,MINING & MINERAL PROCESSING,2.2,2,Q2,11/31,4
ACTA MUSICOLOGICA,ACTA MUSICOLOGICA,MUSIC,0.4,0.2,N/A,N/A,1
Acta Naturae,ACTA NATURAE,CELL BIOLOGY,2,2.1,Q4,173/205,4
Acta Neophilologica,ACTA NEOPHILOL,LITERATURE,0.4,0.3,N/A,N/A,3
ACTA NEUROBIOLOGIAE EXPERIMENTALIS,ACTA NEUROBIOL EXP,NEUROSCIENCES,1.4,1.3,Q4,275/310,4
ACTA NEUROCHIRURGICA,ACTA NEUROCHIR,SURGERY,1.9,2.2,Q2,117/290,3
ACTA NEUROLOGICA BELGICA,ACTA NEUROL BELG,NEUROSCIENCES,2,2.2,Q3,228/310,4
ACTA NEUROLOGICA SCANDINAVICA,ACTA NEUROL SCAND,CLINICAL NEUROLOGY,2.9,3,Q2,99/277,3
ACTA NEUROPATHOLOGICA,ACTA NEUROPATHOL,PATHOLOGY,9.3,13.1,Q1,3/88,1
Acta Neuropathologica Communications,ACTA NEUROPATHOL COM,NEUROSCIENCES,6.2,6.8,Q1,32/310,1
ACTA NEUROPSYCHIATRICA,ACTA NEUROPSYCHIATR,PSYCHIATRY,2.6,3.3,Q2,115/276,4
Acta Neuropsychologica,ACTA NEUROPSYCHOL,PSYCHOLOGY,1,0.7,Q4,76/92,4
ACTA NUMERICA,ACTA NUMER,MATHEMATICS,16.3,18.8,Q1,1/489,1
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,ACTA OBSTET GYN SCAN,OBSTETRICS & GYNECOLOGY,3.5,4,Q1,20/136,2
ACTA OCEANOLOGICA SINICA,ACTA OCEANOL SIN,OCEANOGRAPHY,1.4,1.6,Q3,46/65,2
ACTA ODONTOLOGICA SCANDINAVICA,ACTA ODONTOL SCAND,"DENTISTRY, ORAL SURGERY & MEDICINE",1.4,2,Q3,95/157,4
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,ACTA OECOL,ECOLOGY,1.3,1.6,Q3,141/195,4
ACTA OECONOMICA,ACTA OECON,ECONOMICS,0.7,0.7,Q3,446/597,4
Acta of Bioengineering and Biomechanics,ACTA BIOENG BIOMECH,"ENGINEERING, BIOMEDICAL",0.8,1,Q4,113/122,4
ACTA ONCOLOGICA,ACTA ONCOL,ONCOLOGY,2.7,3.7,Q3,163/322,3
ACTA OPHTHALMOLOGICA,ACTA OPHTHALMOL,OPHTHALMOLOGY,3,3.2,Q1,18/95,3
ACTA OPTICA SINICA,ACTA OPT SIN,OPTICS,1.6,1.1,Q3,79/119,2
Acta Orientalia Academiae Scientiarum Hungaricae,ACTA ORIENT ACAD SCI,HISTORY,0.1,0.2,Q3,327/518,3
ACTA ORNITHOLOGICA,ACTA ORNITHOL,ORNITHOLOGY,0.8,1,Q3,16/29,4
Acta Orthopaedica,ACTA ORTHOP,ORTHOPEDICS,2.5,3.6,Q1,33/136,2
Acta Orthopaedica Belgica,ACTA ORTHOP BELG,ORTHOPEDICS,0.5,0.6,Q4,118/136,4
Acta Orthopaedica et Traumatologica Turcica,ACTA ORTHOP TRAUMATO,ORTHOPEDICS,1.1,1.4,Q3,97/136,4
Acta Ortopedica Brasileira,ACTA ORTOP BRAS,ORTHOPEDICS,0.5,0.6,Q4,118/136,4
ACTA OTO-LARYNGOLOGICA,ACTA OTO-LARYNGOL,OTORHINOLARYNGOLOGY,1.2,1.4,Q3,38/65,4
Acta Oto-Laryngologica Case Reports,ACTA OTO-LARYNGOL CA,OTORHINOLARYNGOLOGY,0.3,0.2,Q4,57/65,4
Acta Otorhinolaryngologica Italica,ACTA OTORHINOLARYNGO,OTORHINOLARYNGOLOGY,2.1,2.1,Q2,18/65,3
Acta Otorrinolaringologica Espanola,ACTA OTORRINOLAR ESP,OTORHINOLARYNGOLOGY,0.9,1,Q3,48/65,4
ACTA PAEDIATRICA,ACTA PAEDIATR,PEDIATRICS,2.4,2.6,Q1,46/186,4
ACTA PALAEONTOLOGICA POLONICA,ACTA PALAEONTOL POL,PALEONTOLOGY,1.8,1.8,Q2,17/56,3
ACTA PARASITOLOGICA,ACTA PARASITOL,ZOOLOGY,1.2,1.3,Q2,84/180,3
Acta Paulista de Enfermagem,ACTA PAUL ENFERM,NURSING,1.1,1.1,Q3,129/191,4
Acta Pediatrica de Mexico,ACTA PEDIATR MEX,PEDIATRICS,0.1,0.2,Q4,179/186,4
ACTA PETROLOGICA SINICA,ACTA PETROL SIN,GEOLOGY,1.7,1.9,Q2,16/60,2
ACTA PHARMACEUTICA,ACTA PHARMACEUT,PHARMACOLOGY & PHARMACY,2.1,2.4,Q3,210/354,4
Acta Pharmaceutica Sinica B,ACTA PHARM SIN B,PHARMACOLOGY & PHARMACY,14.7,14.1,Q1,5/354,1
ACTA PHARMACOLOGICA SINICA,ACTA PHARMACOL SIN,PHARMACOLOGY & PHARMACY,6.9,7.6,Q1,15/354,2
Acta Philosophica,ACTA PHILOS,PHILOSOPHY,0.1,0.1,N/A,N/A,4
Acta Phlebologica,ACTA PHLEBOL,PERIPHERAL VASCULAR DISEASE,0.4,0.4,Q4,88/96,4
Acta Photonica Sinica,ACTA PHOTONICA SINIC,OPTICS,0.6,0.5,Q4,109/119,3
ACTA PHYSICA POLONICA A,ACTA PHYS POL A,"PHYSICS, MULTIDISCIPLINARY",0.5,0.6,Q4,91/110,4
ACTA PHYSICA POLONICA B,ACTA PHYS POL B,"PHYSICS, MULTIDISCIPLINARY",0.9,0.5,Q3,75/110,4
ACTA PHYSICA SINICA,ACTA PHYS SIN-CH ED,"PHYSICS, MULTIDISCIPLINARY",0.8,0.8,Q3,77/110,3
ACTA PHYSICO-CHIMICA SINICA,ACTA PHYS-CHIM SIN,"CHEMISTRY, PHYSICAL",10.8,5.5,Q1,24/178,2
ACTA PHYSIOLOGIAE PLANTARUM,ACTA PHYSIOL PLANT,PLANT SCIENCES,2.4,2.8,Q2,96/265,4
Acta Physiologica,ACTA PHYSIOL,PHYSIOLOGY,5.6,4.9,Q1,4/85,1
Acta Phytotaxonomica et Geobotanica,ACTA PHYTOTAX GEOBOT,PLANT SCIENCES,0.3,0.4,Q4,257/265,4
Acta Poetica,ACTA POETICA,LITERATURE,0.2,0.1,N/A,N/A,3
Acta Politica,ACTA POLIT,POLITICAL SCIENCE,1.4,1.6,Q2,141/317,3
ACTA POLONIAE HISTORICA,ACTA POL HIST,HISTORY,0.1,0.1,Q3,327/518,4
ACTA POLONIAE PHARMACEUTICA,ACTA POL PHARM,PHARMACOLOGY & PHARMACY,0.4,0.4,Q4,335/354,4
ACTA POLYMERICA SINICA,ACTA POLYM SIN,POLYMER SCIENCE,1.7,1.3,Q4,71/94,2
Acta Polytechnica,ACTA POLYTECH,"ENGINEERING, MULTIDISCIPLINARY",0.6,0.6,Q3,132/179,4
Acta Polytechnica Hungarica,ACTA POLYTECH HUNG,"ENGINEERING, MULTIDISCIPLINARY",1.4,1.1,Q2,80/179,4
ACTA PROTOZOOLOGICA,ACTA PROTOZOOL,MICROBIOLOGY,1.5,1,Q4,142/161,4
ACTA PSIQUIATRICA Y PSICOLOGICA DE AMERICA LATINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ACTA PSYCHIATRICA SCANDINAVICA,ACTA PSYCHIAT SCAND,PSYCHIATRY,5.3,6.6,Q1,28/276,2
ACTA PSYCHOLOGICA,ACTA PSYCHOL,"PSYCHOLOGY, EXPERIMENTAL",2.1,1.9,Q2,44/99,3
Acta Psychologica Sinica,ACTA PSYCHOL SIN,"PSYCHOLOGY, MULTIDISCIPLINARY",1.3,N/A,Q3,122/218,2
ACTA RADIOLOGICA,ACTA RADIOL,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",1.1,1.4,Q3,153/204,4
Acta Radiologica Open,ACTA RADIOL OPEN,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",0.9,1.1,Q4,166/204,4
Acta Reumatologica Portuguesa,ACTA REUMATOL PORT,RHEUMATOLOGY,1,1.3,Q4,49/57,N/A
Acta Scientiae Veterinariae,ACTA SCI VET,VETERINARY SCIENCES,0.2,0.3,Q4,158/167,4
ACTA SCIENTIARUM MATHEMATICARUM,ACTA SCI MATH,MATHEMATICS,0.5,0.5,Q3,325/489,4
Acta Scientiarum Polonorum-Formatio Circumiectus,ACTA SCI POL-FORM C,ENVIRONMENTAL SCIENCES,0.4,0.4,Q4,349/358,4
Acta Scientiarum Polonorum-Hortorum Cultus,ACTA SCI POL-HORTORU,HORTICULTURE,0.6,0.8,Q4,33/38,4
Acta Scientiarum Polonorum-Technologia Alimentaria,ACTA SCI POLON-TECHN,FOOD SCIENCE & TECHNOLOGY,1.3,1.6,Q4,135/173,4
ACTA SCIENTIARUM-AGRONOMY,ACTA SCI-AGRON,AGRONOMY,1.2,1.3,Q3,72/125,4
ACTA SCIENTIARUM-HEALTH SCIENCES,ACTA SCI-HEALTH SCI,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",0.1,0.2,Q4,399/403,4
ACTA SCIENTIARUM-TECHNOLOGY,ACTA SCI-TECHNOL,MULTIDISCIPLINARY SCIENCES,0.6,0.6,Q3,97/134,4
Acta Silvae et Ligni,ACTA SILVAE LIGNI,FORESTRY,0.3,0.4,Q4,83/89,4
ACTA SOCIETATIS BOTANICORUM POLONIAE,ACTA SOC BOT POL,PLANT SCIENCES,1.1,1.2,Q3,183/265,4
ACTA SOCIOLOGICA,ACTA SOCIOL,SOCIOLOGY,1.3,2,Q3,113/217,3
Acta Stomatologica Croatica,ACTA STOMATOL CROAT,"DENTISTRY, ORAL SURGERY & MEDICINE",1.4,1.5,Q3,95/157,4
Acta Structilia,ACTA STRUCTILIA,MANAGEMENT,0.6,0.7,Q4,357/401,4
Acta Technica Napocensis Series-Applied Mathematics Mechanics and Engineering,ACTA TECH NAPOC SER-,MECHANICS,0.1,0.1,Q4,169/170,4
Acta Technologica Agriculturae,ACTA TECHNOL AGR,"AGRICULTURE, MULTIDISCIPLINARY",1.3,1,Q2,39/89,4
Acta Theologica,ACTA THEOL,RELIGION,0.2,0.2,N/A,N/A,4
ACTA TROPICA,ACTA TROP,TROPICAL MEDICINE,2.1,2.4,Q2,N/A,3
Acta Turistica,ACTA TURISTICA,"HOSPITALITY, LEISURE, SPORT & TOURISM",0.4,0.5,Q4,129/139,4
Acta Universitatis Carolinae Theologica,ACTA UNIV CAROL THEO,RELIGION,0.3,N/A,N/A,N/A,3
Acta Universitatis Lodziensis Folia Litteraria Romanica,ACTA UL FOL LITT ROM,"LITERATURE, ROMANCE",<0.1,N/A,N/A,N/A,4
Acta Universitatis Sapientiae Informatica,ACTA U SAPIEN INFORM,"COMPUTER SCIENCE, THEORY & METHODS",0.3,0.6,Q4,137/143,4
Acta Universitatis Sapientiae-Film and Media Studies,ACTA U SAPIENTIAE-FI,"FILM, RADIO, TELEVISION",0.1,0.1,N/A,N/A,3
Acta Universitatis Sapientiae-Mathematica,ACTA U SAPIENTIAE-MA,MATHEMATICS,0.6,0.6,Q3,263/489,4
ACTA VETERINARIA BRNO,ACTA VET BRNO,VETERINARY SCIENCES,0.6,0.7,Q3,125/167,4
Acta Veterinaria Eurasia,ACTA VET EURASIA,VETERINARY SCIENCES,0.4,0.4,Q4,137/167,4
ACTA VETERINARIA HUNGARICA,ACTA VET HUNG,VETERINARY SCIENCES,0.7,0.9,Q3,119/167,4
ACTA VETERINARIA SCANDINAVICA,ACTA VET SCAND,VETERINARY SCIENCES,1.9,2,Q2,46/167,2
ACTA VETERINARIA-BEOGRAD,ACTA VET-BEOGRAD,VETERINARY SCIENCES,0.7,0.8,Q3,119/167,4
ACTA VIROLOGICA,ACTA VIROL,VIROLOGY,1.1,1.2,Q4,38/41,4
ACTA ZOOLOGICA,ACTA ZOOL-STOCKHOLM,ZOOLOGY,1.1,1,Q3,96/180,4
ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE,ACTA ZOOL ACAD SCI H,ZOOLOGY,0.6,0.7,Q4,150/180,4
ACTA ZOOLOGICA BULGARICA,ACTA ZOOL BULGAR,ZOOLOGY,0.4,0.4,Q4,174/180,4
Actas Dermo-Sifiliograficas,ACTAS DERMO-SIFILOGR,DERMATOLOGY,3.8,2.9,Q1,15/94,4
ACTAS ESPANOLAS DE PSIQUIATRIA,ACTAS ESP PSIQUIATRI,PSYCHIATRY,1,1.4,Q4,219/276,4
Actas Urologicas Espanolas,ACTAS UROL ESP,UROLOGY & NEPHROLOGY,1.2,1.1,Q3,91/126,4
ACTES DE LA RECHERCHE EN SCIENCES SOCIALES,ACTES RECH SCI SOC,"SOCIAL SCIENCES, INTERDISCIPLINARY",0.4,0.5,Q3,183/263,4
Action Learning,ACTION LEARN,EDUCATION & EDUCATIONAL RESEARCH,1.1,1,Q3,398/756,4
Action Research,ACTION RES-LONDON,"SOCIAL SCIENCES, INTERDISCIPLINARY",1.6,2.1,Q2,81/263,4
Active and Passive Electronic Components,ACT PASSIV ELECTRON,"ENGINEERING, ELECTRICAL & ELECTRONIC",1.3,0.5,Q3,264/352,N/A
Active Learning in Higher Education,ACT LEARN HIGH EDUC,EDUCATION & EDUCATIONAL RESEARCH,3.8,4,Q1,41/756,1
Activitas Nervosa Superior Rediviva,ACT NERV SUPER REDIV,CLINICAL NEUROLOGY,0.5,0.3,Q4,262/277,4
Activites-Revue Electronique,ACTIVITIES,ERGONOMICS,0.4,0.6,Q4,24/24,4
Activities Adaptation & Aging,ACT ADAPT AGING,GERONTOLOGY,N/A,N/A,N/A,N/A,4
Actualidad Contable Faces,ACTUAL CONTAB FACES,"BUSINESS, FINANCE",0.1,0.1,Q4,223/231,4
Actualidad Juridica Ambiental,ACTUAL JURID AMBIENT,LAW,0.2,0.2,Q4,316/421,4
Actualidades en Psicologia,ACTUAL PSICOL,PSYCHOLOGY,0.2,0.4,Q4,89/92,4
Actualidades Pedagogicas,ACTUAL PEDAGOG,EDUCATION & EDUCATIONAL RESEARCH,0.1,0.3,Q4,699/756,4
Actualites Pharmaceutiques,ACTUAL PHARMACEUT,PHARMACOLOGY & PHARMACY,0.1,0.1,Q4,352/354,4
Actualizaciones en Osteologia,ACTUAL OSTEOL,"MEDICINE, RESEARCH & EXPERIMENTAL",<0.1,<0.1,Q4,188/189,4
Actuators,ACTUATORS,INSTRUMENTS & INSTRUMENTATION,2.2,2.4,Q2,34/76,3
ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH,ACUPUNCTURE ELECTRO,NEUROSCIENCES,0.2,0.2,Q4,306/310,4
Acupuncture and Herbal Medicine,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Acupuncture in Medicine,ACUPUNCT MED,INTEGRATIVE & COMPLEMENTARY MEDICINE,2.4,2.4,Q2,15/43,4
Acute and Critical Care,ACUTE CRIT CARE,CRITICAL CARE MEDICINE,1.7,1.8,Q3,34/54,4
Acute Medicine & Surgery,ACUTE MED SURG,"MEDICINE, GENERAL & INTERNAL",1.5,1.8,Q2,129/325,4
AD ALTA-Journal of Interdisciplinary Research,AD ALTA-INTERDISCIP,MULTIDISCIPLINARY SCIENCES,0.7,0.4,Q3,90/134,N/A
Ad Hoc & Sensor Wireless Networks,AD HOC SENS WIREL NE,TELECOMMUNICATIONS,0.6,0.5,Q4,109/119,4
Ad Hoc Networks,AD HOC NETW,TELECOMMUNICATIONS,4.4,4,Q1,29/119,3
Adalya,ADALYA,ARCHAEOLOGY,0.2,0.2,N/A,N/A,4
ADANSONIA,ADANSONIA,PLANT SCIENCES,0.7,0.5,Q4,224/265,4
Adaptation-The Journal of Literature on Screen Studies,ADAPTATION-UK,LITERATURE,0.5,0.6,N/A,N/A,3
ADAPTED PHYSICAL ACTIVITY QUARTERLY,ADAPT PHYS ACT Q,SPORT SCIENCES,1.7,2,Q3,64/127,4
ADAPTIVE BEHAVIOR,ADAPT BEHAV,"SOCIAL SCIENCES, INTERDISCIPLINARY",1.2,1.6,Q2,108/263,4
Adaptive Human Behavior and Physiology,ADAPT HUM BEHAV PHYS,"PSYCHOLOGY, BIOLOGICAL",1.2,1.4,Q3,13/18,4
ADCAIJ-Advances in Distributed Computing and Artificial Intelligence Journal,ADCAIJ-ADV DISTRIB C,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1.7,1.4,Q3,143/197,4
AdComunica-Revista Cientifica de Estrategias Tendencias e Innovacion en Communicacion,ADCOMUNICA,COMMUNICATION,1.2,0.9,Q3,114/227,4
Addicta-The Turkish Journal on Addictions,ADDICTA,SUBSTANCE ABUSE,0.5,0.8,Q4,53/55,4
ADDICTION,ADDICTION,SUBSTANCE ABUSE,5.2,5.9,Q1,2/55,2
ADDICTION BIOLOGY,ADDICT BIOL,SUBSTANCE ABUSE,3.1,3.1,Q2,15/55,3
ADDICTION RESEARCH & THEORY,ADDICT RES THEORY,SUBSTANCE ABUSE,1.9,2.5,Q3,35/55,4
Addiction Science & Clinical Practice,ADDICT SCI CLIN PRAC,SUBSTANCE ABUSE,3.7,4.2,Q1,10/55,2
ADDICTIVE BEHAVIORS,ADDICT BEHAV,SUBSTANCE ABUSE,3.7,3.8,Q1,10/55,2
Additive Manufacturing,ADDIT MANUF,"MATERIALS SCIENCE, MULTIDISCIPLINARY",10.3,12.4,Q1,51/438,1
Additive Manufacturing Letters,ADDIT MANUF LETT,"MATERIALS SCIENCE, MULTIDISCIPLINARY",4.2,4.2,Q2,158/438,3
Adelaide Law Review,ADEL LAW REV,LAW,0.3,0.4,Q3,267/421,4
Adeptus,ADEPTUS,"HUMANITIES, MULTIDISCIPLINARY",<0.1,0.1,N/A,N/A,4
Adicciones,ADICCIONES,SUBSTANCE ABUSE,2.2,2.5,Q3,30/55,4
Adipocyte,ADIPOCYTE,ENDOCRINOLOGY & METABOLISM,3.5,3.6,Q2,68/186,3
ADMET and DMPK,ADMET DMPK,PHARMACOLOGY & PHARMACY,3.4,2.8,Q2,105/354,4
AD-minister,AD-MINIST,BUSINESS,0.7,0.7,Q4,261/302,4
